"StartDate","EndDate","Status","Progress","Duration..in.seconds.","Finished","RecordedDate","ResponseId","DistributionChannel","UserLanguage","Q_RecaptchaScore","consent_q","attn_1","attn_2","AIPresent_Capability_1","AIPresent_Trust_1","AIPresent_Why","SelfPresent_Capabili_1","SelfPresent_Trust_1","SelfPresent_Why","AIAbsent_Capability_1","AIAbsent_Trust_1","AIAbsent_Why","SelfAbsent_Capabilit_1","SelfAbsent_Trust_1","Absent_Why","AIAdjacent_Capabilit_1","AIAdjacent_Trust_1","AIAdjacent_Why","SelfAdjacent_Capabil_1","SelfAdjacent_Trust_1","SelfAdjacent_Why","AIBaseline_Capabilit_1","AIBaseline_Trust_1","AIBaseline_Why1","SelfBaseline_Capabil_1","SelfBaseline_Trust_1","SelfBaseline_Why","comp_images","AI_Familiarity_1","Visual_Familiarity_1","gender","gender_5_TEXT","age","education","education_8_TEXT","income","FL_7_DO"
"2024-12-13 11:41:27","2024-12-13 11:42:48","0","100","81","1","2024-12-13 11:42:49","R_5zkawZ9LMVYF4MQ","anonymous","EN","1","1","1","2","","","","","","","","","","","","","","","","","","","","","","100","100","It's obvious to me what is happening in the picture above. Someone is looking through a window with a mask on. ","2","60","20","1","","39","5","","9","Self-BaselineCondition"
"2024-12-13 11:42:12","2024-12-13 11:42:59","0","100","47","1","2024-12-13 11:43:00","R_1L6KDu9KgjzNAtE","anonymous","EN","1","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2024-12-13 11:40:53","2024-12-13 11:43:02","0","100","128","1","2024-12-13 11:43:02","R_5yq1BEKqqhDRwop","anonymous","EN","1","1","1","2","91","81","I think the outlines are properly around what they say they are around, with no errors","","","","","","","","","","","","","","","","","","","","","","2","82","39","2","","29","4","","13","AI-BackgroundPresentCondition"
"2024-12-13 11:40:59","2024-12-13 11:43:11","0","100","132","1","2024-12-13 11:43:12","R_30AXqZ37AuD4jSx","anonymous","EN","1","1","1","2","","","","","","","","","","","","","","","","","","","","","","100","76","Based on the dress and the action you can mostly interpret the behavior","2","82","34","2","","31","6","","13","Self-BaselineCondition"
"2024-12-13 11:42:42","2024-12-13 11:43:11","0","100","29","1","2024-12-13 11:43:12","R_6sca8VaHpwQBERr","anonymous","EN","1","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2024-12-13 11:42:31","2024-12-13 11:43:19","0","100","48","1","2024-12-13 11:43:19","R_3QAnw0gxVIgIdPZ","anonymous","EN","1","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2024-12-13 11:41:17","2024-12-13 11:43:21","0","100","124","1","2024-12-13 11:43:21","R_6aJ3gnYYSgYfkA4","anonymous","EN","1","1","1","2","","","","","","","","","","","","","","","","90","76","I can observe the shape of the human but AI may not be able to discern that level of detail ","","","","","","","2","91","86","2","","43","6","","9","Self-BackgroundAdjacentCondition"
"2024-12-13 11:41:25","2024-12-13 11:43:25","0","100","119","1","2024-12-13 11:43:25","R_7cV9Ry78x0kfcIK","anonymous","EN","1","1","1","2","","","","","","","","","","","","","9","4","There is no way those 3 boxes can determine where or what the criminal is doing","","","","","","","","","","2","50","30","1","","34","4","","13","AI-BackgroundAdjacentCondition"
"2024-12-13 11:40:45","2024-12-13 11:43:31","0","100","165","1","2024-12-13 11:43:32","R_7oORoYWHJjwacq5","anonymous","EN","1","1","1","2","","","","","","","","","","","","","50","38","It may be able to identify a person, but not identify what the person is doing","","","","","","","","","","2","71","66","2","","62","5","","13","AI-BackgroundAdjacentCondition"
"2024-12-13 11:42:01","2024-12-13 11:43:37","0","100","96","1","2024-12-13 11:43:38","R_730Xmck7oKv0837","anonymous","EN","1","1","1","2","","","","","","","","","","","","","","","","","","","100","100","The lighting is good and the image is clear. There can be no way to interpret this as anything other than what it is.","","","","2","55","50","2","","34","4","","15","AI-BaselineCondition"
"2024-12-13 11:41:25","2024-12-13 11:43:39","0","100","134","1","2024-12-13 11:43:40","R_7qgJhrZKk1n8TyE","anonymous","EN","1","1","1","2","","","","","","","","","","","","","","","","","","","","","","100","90","I can predict what's happening in the image with a high degree of certainty. There is a remote possibility that there is alternate explanation.","2","70","0","2","","45","5","","14","Self-BaselineCondition"
"2024-12-13 11:41:27","2024-12-13 11:43:48","0","100","141","1","2024-12-13 11:43:49","R_7IYrUv4xvjeHwsk","anonymous","EN","1","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2024-12-13 11:41:35","2024-12-13 11:43:51","0","100","135","1","2024-12-13 11:43:51","R_5HBTmRsIJ19XVAt","anonymous","EN","1","1","1","2","","","","","","","","","","","","","97","97","It found the person and the other objects accurately.","","","","","","","","","","2","83","31","1","","48","6","","10","AI-BackgroundAdjacentCondition"
"2024-12-13 11:41:10","2024-12-13 11:44:07","0","100","176","1","2024-12-13 11:44:07","R_12RYrP3kwpwqYl0","anonymous","EN","1","1","1","2","","","","","","","","","","","","","","","","91","96","Man is obviously looking into a window while masked and holding a gun","","","","","","","2","67","25","1","","42","4","","13","Self-BackgroundAdjacentCondition"
"2024-12-13 11:42:36","2024-12-13 11:44:08","0","100","92","1","2024-12-13 11:44:09","R_6pLV2nWETdpUvMI","anonymous","EN","1","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2024-12-13 11:41:26","2024-12-13 11:44:09","0","100","163","1","2024-12-13 11:44:10","R_3Dp8jgHr0xvgoNW","anonymous","EN","1","1","1","2","","","","","","","90","20","I think it's clear that the AI can indeed tell that a person is looking in a window. But as far as accurately interpreting the behavior of that person (is that person walking by, intently staring in discretely, etc.) I think it's unclear.","","","","","","","","","","","","","","","","2","70","15","1","","60","3","","13","AI-BackgroundAbsentCondition"
"2024-12-13 11:43:14","2024-12-13 11:44:11","0","100","57","1","2024-12-13 11:44:12","R_1FH4sLClQk7IqFH","anonymous","EN","1","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2024-12-13 11:40:54","2024-12-13 11:44:13","0","100","198","1","2024-12-13 11:44:13","R_72yswLYh00RES4N","anonymous","EN","1","1","1","2","","","","","","","","","","","","","","","","","","","100","100","The system is seeing a person, disguised in all black with face covered, and a gun. He is clearly looking into a window. It is an easy image to interpret.","","","","2","72","69","2","","48","4","","11","AI-BaselineCondition"
"2024-12-13 11:42:17","2024-12-13 11:44:14","0","100","116","1","2024-12-13 11:44:15","R_6VflMIs2RPLSDKu","anonymous","EN","1","1","1","2","","","","100","100","Since they have a gun and are dressed from head to toe in black to conceal their identity, it is obvious they are a burglar up to no good.","","","","","","","","","","","","","","","","","","","2","78","87","1","","29","4","","12","Self-BackgroundPresentCondition"
"2024-12-13 11:42:09","2024-12-13 11:44:15","0","100","126","1","2024-12-13 11:44:16","R_5p2KOMrXlrc0QCZ","anonymous","EN","1","1","1","2","","","","","","","","","","","","","","","","100","70","It is hard to tell someone's behavior from a still photograph.","","","","","","","2","12","3","2","","37","4","","12","Self-BackgroundAdjacentCondition"
"2024-12-13 11:43:39","2024-12-13 11:44:17","0","100","37","1","2024-12-13 11:44:17","R_38FDOz1z03g1mNY","anonymous","EN","1","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2024-12-13 11:41:05","2024-12-13 11:44:17","0","100","192","1","2024-12-13 11:44:18","R_7ygRvXin3OYygeZ","anonymous","EN","0.699999988079071","1","1","2","","","","","","","","","","24","29","The window appears to be smaller than the person, so it's unclear if the person is really looking out the window or at the wall. Furthermore, this is under the assumption the person is facing the window. We have no information on the person's orientation.","","","","","","","","","","","","","2","50","30","2","","28","4","","11","Self-BackgroundAbsentCondition"
"2024-12-13 11:41:20","2024-12-13 11:44:21","0","100","180","1","2024-12-13 11:44:21","R_61aX5yPnaDRofcW","anonymous","EN","1","1","1","2","","","","","","","","","","","","","","","","","","","90","90","The person in the picture has a gun and is using their hand to guide their head and eyes into a window, the camera system gives a clear picture of that. ","","","","2","65","5","1","","38","4","","10","AI-BaselineCondition"
"2024-12-13 11:43:40","2024-12-13 11:44:23","0","100","42","1","2024-12-13 11:44:23","R_20Ol4QQOqAqp7o8","anonymous","EN","1","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2024-12-13 11:41:28","2024-12-13 11:44:26","0","100","178","1","2024-12-13 11:44:26","R_28U3dwzGvskpNiC","anonymous","EN","0.699999988079071","1","1","2","","","","","","","35","45","I think it is difficult for it to know just based on some squares on the screen","","","","","","","","","","","","","","","","2","65","57","1","","27","4","","12","AI-BackgroundAbsentCondition"
"2024-12-13 11:41:43","2024-12-13 11:44:26","0","100","163","1","2024-12-13 11:44:27","R_56l6CJTSIvLLj55","anonymous","EN","1","1","1","2","","","","","","","","","","0","0","It appears the AI only detects the position of the person, not their activity.  It is far too simplistic to draw conclusions.","","","","","","","","","","","","","2","81","23","1","","52","5","","13","Self-BackgroundAbsentCondition"
"2024-12-13 11:40:50","2024-12-13 11:44:29","0","100","218","1","2024-12-13 11:44:29","R_7Sp1wRIhDlRkBJj","anonymous","EN","1","1","1","2","","","","","","","75","55","It seems like it would be able to tell that there is person at the window, and they might be looking into it. I'm unsure if it could accurately interpret the behavior though, because even advanced AI struggles with that still and I'm unsure of the quality of this camera/AI.","","","","","","","","","","","","","","","","2","85","20","3","","23","1","","13","AI-BackgroundAbsentCondition"
"2024-12-13 11:42:17","2024-12-13 11:44:32","0","100","134","1","2024-12-13 11:44:33","R_1xznogDbQGtY4c7","anonymous","EN","1","1","1","2","","","","","","","","","","","","","","","","","","","","","","100","77","I can't tell anything about the person, but I know they're looking in a window. Beyond that, I don't know much. ","2","100","83","1","","43","4","","10","Self-BaselineCondition"
"2024-12-13 11:40:49","2024-12-13 11:44:38","0","100","228","1","2024-12-13 11:44:39","R_7GuZRHCPM741YK9","anonymous","EN","1","1","1","2","70","63","I believe AI has got to the point where it is fully capable of being able to intercept a person and use that data to find the identity.","","","","","","","","","","","","","","","","","","","","","","2","70","65","1","","33","4","","10","AI-BackgroundPresentCondition"
"2024-12-13 11:42:07","2024-12-13 11:44:38","0","100","150","1","2024-12-13 11:44:39","R_54D67MPpyZh2uIh","anonymous","EN","1","1","1","2","","","","","","","","","","","","","","","","","","","","","","95","100","The man in the image is almost certainly looking into the window, and his all-black clothing and ski mask combined with his pistol gives a very clear impression that he is looking to burglarize the place.","2","85","75","1","","54","4","","10","Self-BaselineCondition"
"2024-12-13 11:43:26","2024-12-13 11:44:40","0","100","74","1","2024-12-13 11:44:41","R_3zUdq1OgoZp2Spv","anonymous","EN","1","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2024-12-13 11:41:52","2024-12-13 11:44:44","0","100","172","1","2024-12-13 11:44:44","R_5KpWxF1MkY0utS7","anonymous","EN","1","1","1","2","","","","","","","","","","","","","","","","100","92","A man is peering into a window. The fact he is wearing a ski mask makes him suspicious.","","","","","","","2","66","14","1","","59","3","","13","Self-BackgroundAdjacentCondition"
"2024-12-13 11:41:19","2024-12-13 11:44:44","0","100","204","1","2024-12-13 11:44:44","R_1Bmwd942QEvXUaT","anonymous","EN","1","1","1","2","","","","","","","","","","","","","","","","","","","","","","100","95","It clearly shows a person looking inside a window and looking at his mask on his face it shows his motives.","2","95","85","1","","36","2","","13","Self-BaselineCondition"
"2024-12-13 11:42:39","2024-12-13 11:44:44","0","100","124","1","2024-12-13 11:44:45","R_1ANLB2QC6Vzfbrf","anonymous","EN","0.5","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2024-12-13 11:42:43","2024-12-13 11:44:48","0","100","124","1","2024-12-13 11:44:48","R_1FarJKE3qykGnLz","anonymous","EN","1","1","1","2","","","","100","100","It's pretty clear that the person has their hand up looking into something like a window","","","","","","","","","","","","","","","","","","","2","71","50","1","","32","5","","11","Self-BackgroundPresentCondition"
"2024-12-13 11:40:45","2024-12-13 11:44:48","0","100","243","1","2024-12-13 11:44:49","R_6sdsBzTZGKxayzt","anonymous","EN","1","1","1","2","","","","76","66","It’s hard to confirm intent from a static image alone. Without more context or movement, interpreting behavior or trusting the AI’s labels is uncertain.","","","","","","","","","","","","","","","","","","","2","68","41","1","","34","4","","11","Self-BackgroundPresentCondition"
"2024-12-13 11:42:02","2024-12-13 11:44:54","0","100","171","1","2024-12-13 11:44:54","R_5YnpN33XND1Lu5q","anonymous","EN","1","1","1","2","","","","","","","","","","","","","","","","100","100","He's got a gun and a mask, he's obviously up to no good. Probably planning to sneak in and do something burgling.","","","","","","","2","76","51","2","","36","4","","12","Self-BackgroundAdjacentCondition"
"2024-12-13 11:40:49","2024-12-13 11:44:56","0","100","247","1","2024-12-13 11:44:57","R_5K1hprYeIaq9BGK","anonymous","EN","1","1","1","2","","","","","","","","","","","","","82","40","Since the image shown was clear to me and to the AI, I find it capable of identifying that.  However, I can certainly imagine that with images requiring more contextual details the AI could also get it wrong on occasions.","","","","","","","","","","2","100","83","1","","46","5","","10","AI-BackgroundAdjacentCondition"
"2024-12-13 11:42:13","2024-12-13 11:44:57","0","100","163","1","2024-12-13 11:44:57","R_58DkQTa63YTMkJH","anonymous","EN","1","1","1","2","","","","","","","64","40","I could guess that the person is looking out the window but i dont know for sure","","","","","","","","","","","","","","","","2","88","63","4","","36","5","","12","AI-BackgroundAbsentCondition"
"2024-12-13 11:41:11","2024-12-13 11:45:07","0","100","235","1","2024-12-13 11:45:08","R_7f3Op1IK7vpgGcH","anonymous","EN","1","1","1","2","","","","","","","","","","","","","","","","100","100","I can clearly see a person and he has a mask on and a gun and is peering into the window. These behaviors suggest he has bad intentions","","","","","","","2","100","5","1","","37","3","","15","Self-BackgroundAdjacentCondition"
"2024-12-13 11:40:50","2024-12-13 11:45:11","0","100","261","1","2024-12-13 11:45:11","R_3TmGf29vPMpIT7g","anonymous","EN","1","1","1","2","","","","","","","","","","","","","","","","","","","100","100","It's obviously detecting a person with balaklava with a handgun looking in the window. it's not that hard to imagine what's going on","","","","2","90","90","1","","56","5","","14","AI-BaselineCondition"
"2024-12-13 11:44:23","2024-12-13 11:45:11","0","100","47","1","2024-12-13 11:45:11","R_7OPx2rBV5aW7CtJ","anonymous","EN","1","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2024-12-13 11:41:05","2024-12-13 11:45:11","0","100","246","1","2024-12-13 11:45:12","R_1CU2NrmiG06zXR8","anonymous","EN","1","1","1","2","92","76","The gun in the picture is the most inflammatory object and it's not being recognized at all. It seems to just be the overlap of person and window that the AI is recognizing which is correct in this case but I'm not sure if it would be correct in all cases.","","","","","","","","","","","","","","","","","","","","","","2","73","24","2","","34","3","","11","AI-BackgroundPresentCondition"
"2024-12-13 11:41:14","2024-12-13 11:45:11","0","100","237","1","2024-12-13 11:45:12","R_18N7IDHgCFePlX2","anonymous","EN","1","1","1","2","","","","","","","80","60","The person appears to be in the vicinity of the window and those two overlap, so it makes sense that they could be looking out the window. I think without analyzing how long the person is there, the direction they are facing, and what they are doing, it's hard to assert confidently if they are looking out the window or just nearby.","","","","","","","","","","","","","","","","2","80","60","2","","36","4","","10","AI-BackgroundAbsentCondition"
"2024-12-13 11:40:46","2024-12-13 11:45:13","0","100","267","1","2024-12-13 11:45:14","R_6TNab37xxC1WwyY","anonymous","EN","1","1","1","2","","","","100","91","It is obvious that the person is a criminal intent on illegal and harmful behavior.","","","","","","","","","","","","","","","","","","","2","87","76","1","","70","3","","12","Self-BackgroundPresentCondition"
"2024-12-13 11:44:31","2024-12-13 11:45:15","0","100","44","1","2024-12-13 11:45:16","R_1Cs2Bcd6gg13aZo","anonymous","EN","1","1","2","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2024-12-13 11:42:18","2024-12-13 11:45:16","0","100","178","1","2024-12-13 11:45:17","R_2zjXxgeeSFpd1Gs","anonymous","EN","1","1","1","2","","","","","","","","","","","","","","","","","","","100","31","AI can detect people looking into a window, however one still image cannot tell us the behavior of once person. We would need to see a video of the actions of an individual.","","","","2","40","12","1","","30","4","","14","AI-BaselineCondition"
"2024-12-13 11:43:23","2024-12-13 11:45:17","0","100","113","1","2024-12-13 11:45:17","R_5JkZQySDif9DgE1","anonymous","EN","1","1","1","2","","","","","","","","","","","","","20","20","The orientation of the person is not taken into account making it impossible to determine what they are doing.","","","","","","","","","","2","63","63","1","","31","4","","13","AI-BackgroundAdjacentCondition"
"2024-12-13 11:42:18","2024-12-13 11:45:17","0","100","178","1","2024-12-13 11:45:17","R_6zzblxBXfKeeIRr","anonymous","EN","1","1","1","2","","","","","","","","","","","","","65","50","I would need to see additional studies and testing of the camera and AI setup showing that it can identify without making mistakes.","","","","","","","","","","2","82","56","1","","46","3","","11","AI-BackgroundAdjacentCondition"
"2024-12-13 11:41:08","2024-12-13 11:45:17","0","100","249","1","2024-12-13 11:45:17","R_5sCSgBTUQoc42Vr","anonymous","EN","1","1","1","2","","","","","","","50","30","We can know that the person is NEAR the window, but with the given information we have no way to know where they're looking exactly. It's also unclear of the direction they might be facing, noting only their physical proximity.","","","","","","","","","","","","","","","","2","69","60","1","","34","8","DEC (Associate degree equivalent in Québec)","11","AI-BackgroundAbsentCondition"
"2024-12-13 11:43:32","2024-12-13 11:45:19","0","100","106","1","2024-12-13 11:45:19","R_30JbEv39qbdhLPF","anonymous","EN","1","1","1","2","","","","","","","","","","5","0","There is no indication of positioning, what type of window, or whether something is viewable beyond it","","","","","","","","","","","","","2","65","60","1","","40","5","","10","Self-BackgroundAbsentCondition"
"2024-12-13 11:41:10","2024-12-13 11:45:20","0","100","249","1","2024-12-13 11:45:21","R_5DYDgBR5hOeDJHj","anonymous","EN","1","1","1","2","","","","","","","","","","","","","","","","100","95","The behavior in the image is straight forward so it's easy to interpret.","","","","","","","2","90","80","2","","40","4","","12","Self-BackgroundAdjacentCondition"
"2024-12-13 11:43:20","2024-12-13 11:45:23","0","100","123","1","2024-12-13 11:45:24","R_1sdeAoTPvEDm5JB","anonymous","EN","1","1","1","2","","","","80","90","This is a person looking into a window potentially planning to break in","","","","","","","","","","","","","","","","","","","2","68","59","1","","44","4","","10","Self-BackgroundPresentCondition"
"2024-12-13 11:41:24","2024-12-13 11:45:26","0","100","241","1","2024-12-13 11:45:26","R_3EDRnqvemcXhheB","anonymous","EN","1","1","1","2","","","","100","100","He's obviously looking into a window. I don't need AI to tell me that. I thought it was going to show something I couldn't visually see for myself. ","","","","","","","","","","","","","","","","","","","2","79","0","2","","62","3","","13","Self-BackgroundPresentCondition"
"2024-12-13 11:44:49","2024-12-13 11:45:26","0","100","36","1","2024-12-13 11:45:26","R_34dwlRDKHAlrPv0","anonymous","EN","1","1","2","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2024-12-13 11:45:07","2024-12-13 11:45:26","0","100","18","1","2024-12-13 11:45:27","R_6pRbQPPncO5LDJG","anonymous","EN","0.20000000298023224","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2024-12-13 11:43:06","2024-12-13 11:45:29","0","100","142","1","2024-12-13 11:45:29","R_1jueSVSp5mk56dX","anonymous","EN","1","1","1","2","","","","","","","","","","","","","80","50","It can detect a person but maybe not know it is a robber","","","","","","","","","","2","73","72","1","","73","3","","12","AI-BackgroundAdjacentCondition"
